ensembl_gene_id	IDR_30C_1_pellet_262	IDR_30C_1_SN_244	IDR_30C_1_total_226	IDR_30C_2_pellet_263	IDR_30C_2_SN_245	IDR_30C_2_total_227	IDR_40C_1_pellet_264	IDR_40C_1_SN_246	IDR_40C_1_total_228	IDR_40C_2_pellet_265	IDR_40C_2_SN_247	IDR_40C_2_total_229	IDR_42C_1_pellet_266	IDR_42C_1_SN_248	IDR_42C_1_total_230	IDR_42C_2_pellet_267	IDR_42C_2_SN_249	IDR_42C_2_total_231	WT_30C_1_pellet_250	WT_30C_1_SN_232	WT_30C_1_total_214	WT_30C_2_pellet_251	WT_30C_2_SN_233	WT_30C_2_total_215	WT_40C_1_pellet_252	WT_40C_1_SN_234	WT_40C_1_total_216	WT_40C_2_pellet_253	WT_40C_2_SN_235	WT_40C_2_total_217	WT_42C_1_pellet_254	WT_42C_1_SN_236	WT_42C_1_total_218	WT_42C_2_pellet_255	WT_42C_2_SN_237	WT_42C_2_total_219
YAL016C-A	2	2	1	2	0	0	2	1	1	4	0	0	2	2	1	4	0	4	0	0	1	0	1	2	7	1	4	1	2	0	4	1	9	5	0	4
YAL016C-B	65	51	51	55	56	55	185	78	90	180	66	98	149	32	39	166	18	35	46	46	41	44	50	41	138	60	59	123	54	89	105	16	53	120	12	35
YAL016W	1944	1952	2914	1840	2536	2915	4211	1847	3057	4122	2037	3303	4254	1448	2520	4774	1528	2118	1280	2886	2950	1491	2814	3738	2411	2804	2902	2706	2756	3427	2551	2136	2958	2769	2059	3127
YAL017W	2781	1576	1510	2489	1705	1462	8530	2021	3220	8039	2052	3094	5878	528	1590	8346	725	1583	2194	1954	1464	2051	1696	1759	6070	2078	2869	6754	1845	3117	5334	718	1938	4977	348	1988
YAL018C	17	2	16	9	5	8	183	89	145	137	111	185	90	75	104	81	79	97	10	9	7	10	6	5	110	70	122	102	62	143	69	29	87	79	23	75
YAL019W	3778	2546	2607	2969	2407	2302	1934	437	852	1832	457	854	2406	281	578	4220	412	736	2018	2289	1351	2431	2186	1985	1356	368	576	1489	419	828	2574	509	1290	2641	285	1255
YAL019W-A	3	0	1	2	0	0	2	0	4	5	0	2	8	1	0	5	0	3	2	0	0	7	0	1	9	2	1	5	0	1	2	0	0	5	0	2
YAL020C	630	345	595	638	428	546	633	174	310	599	169	326	669	214	307	508	173	279	478	331	538	532	335	518	439	122	245	594	139	251	618	166	306	665	156	320
YAL021C	1213	816	905	1097	926	950	1296	414	548	1298	399	525	1296	287	294	1805	305	410	886	1044	1129	899	1004	1073	984	490	514	1119	526	750	1528	400	639	1560	308	595
YAL022C	1661	1030	1645	1647	1287	1770	1578	439	737	1575	429	647	1896	359	534	1711	297	565	1546	969	1678	1770	1086	1679	1006	511	571	1225	479	779	1307	388	606	1533	399	800
YAL023C	8858	3660	6124	9028	4573	6571	9899	2462	4390	9699	2517	4766	11154	2014	3803	12227	2027	3884	9003	2983	6816	10090	3634	7369	8317	2258	4480	10162	2433	5056	10957	1515	4528	11888	1479	5288
YAL024C	678	168	178	508	185	167	421	63	116	388	76	123	268	46	108	369	54	98	518	345	136	572	230	282	371	58	132	372	72	133	379	63	212	316	35	144
YAL025C	701	1452	1663	493	1335	1464	123	60	152	106	93	146	427	240	471	643	455	427	312	1412	595	437	1490	1241	108	87	110	149	110	165	469	848	1038	512	240	833
YAL026C	5281	2223	2746	4906	2448	2585	4169	1001	1794	4098	1062	1761	4759	537	1376	6568	781	1407	5175	2279	1949	5628	2330	2979	3451	965	1487	3924	959	1838	4905	594	1734	5043	398	2105
YAL026C-A	162	102	95	116	65	82	141	46	96	143	47	77	193	25	43	222	27	53	151	75	43	142	62	103	97	48	69	134	36	88	140	25	92	180	8	86
YAL027W	176	142	177	140	174	203	233	147	254	170	176	245	203	129	189	162	129	149	155	169	117	166	154	178	126	180	144	187	140	171	191	101	166	198	44	178
YAL028W	129	60	54	128	49	83	559	224	291	472	238	235	429	180	153	472	188	161	116	55	78	119	44	74	364	141	173	416	130	333	371	89	178	354	37	142
YAL029C	10425	4112	5701	8814	4364	5455	6326	793	1938	6310	886	2107	6810	450	1631	9773	514	1689	6244	4536	4427	6393	4163	5735	4021	850	1560	5186	707	1813	6019	435	2253	5790	211	2430
YAL030W	137	148	123	114	186	172	164	147	266	153	224	248	173	198	191	159	136	153	109	127	195	87	137	234	138	173	182	161	170	242	148	117	198	158	73	173
YAL031C	523	147	233	498	215	303	905	131	393	882	189	401	716	95	214	987	110	227	416	225	312	435	191	381	794	194	355	768	153	454	697	87	328	662	94	279
YAL031W-A	17	4	7	11	9	10	35	3	19	32	4	14	21	2	9	36	1	6	11	3	8	11	7	10	15	2	16	23	4	27	19	3	6	17	1	10
YAL032C	250	160	201	261	229	213	374	171	294	364	193	306	323	146	141	429	136	175	202	208	209	215	194	236	320	156	261	379	194	282	323	125	201	327	84	166
YAL033W	147	399	364	148	307	390	149	204	278	124	359	379	160	414	371	93	192	283	96	332	431	140	327	413	106	285	242	145	247	317	140	284	432	128	149	422
YAL034C	426	38	60	365	74	78	820	311	478	756	370	393	420	184	185	508	170	186	243	37	72	300	49	97	620	174	350	583	189	473	309	44	168	292	26	125
YAL034C-B	130	121	177	101	129	157	60	51	88	68	59	60	85	60	86	126	107	87	71	136	101	83	137	185	24	49	60	49	63	86	74	93	109	72	75	106
YAL034W-A	63	81	110	52	86	96	50	81	154	45	103	124	45	33	57	59	74	54	40	129	47	43	98	81	49	85	103	39	72	99	36	59	80	39	22	57
YAL035W	8975	7361	10618	8329	8023	10138	2788	2262	4198	2708	2660	4243	4679	2739	4544	7212	5196	5131	5771	9951	5476	6469	10161	11689	2603	3300	3660	2869	3632	4731	5221	6042	7177	5180	3101	7812
YAL036C	1646	2376	3284	1481	2672	3068	710	988	1201	657	873	1336	1512	1528	1771	1231	1338	1529	1042	2026	2330	1156	2505	2876	587	1280	1055	731	1297	1333	1321	1943	1861	1357	1387	2069
YAL037C-A	389	517	793	434	852	853	398	278	351	508	302	405	385	295	234	603	294	234	282	260	553	299	404	460	283	175	216	230	240	313	179	168	210	248	156	237
YAL037C-B	356	578	781	421	771	920	815	439	546	810	451	523	807	429	308	873	382	361	290	242	853	259	350	822	370	241	575	461	283	712	429	225	489	527	227	496
YAL037W	96	70	91	89	89	79	111	75	84	86	69	107	104	79	111	104	67	93	56	73	84	89	66	93	84	75	85	109	70	94	120	69	90	129	42	107
YAL038W	19943	24970	33427	19696	32009	36735	34361	16550	25026	31722	16555	24765	29509	14716	13704	30414	14093	15812	16429	21437	45869	15882	23745	43630	20972	15177	24055	25186	17901	32897	22637	17177	22487	24466	15919	25032
YAL039C	564	688	959	578	818	896	784	482	683	837	520	719	847	685	777	780	653	790	323	608	647	348	568	666	624	398	427	731	429	521	623	557	524	689	462	689
YAL040C	415	72	54	260	66	57	347	26	47	289	22	36	254	27	22	339	24	28	250	52	57	276	51	63	205	26	27	308	33	45	303	22	42	257	21	58
YAL041W	789	447	465	601	430	387	1191	305	534	1075	354	519	1365	268	573	1786	289	506	560	575	329	625	527	556	1163	399	570	1218	424	685	1492	294	791	1522	170	687
YAL042C-A	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	4	1	0	0	0	0	1	0	0	2	1	0	1	0	1	4	0	0	1	0	1
YAL042W	3565	2924	4245	3752	3455	4792	4357	1088	1964	4347	1045	2102	5331	1256	1813	4694	1152	1879	3664	2722	4241	3906	3025	4219	3164	1205	1521	4006	1204	1840	4934	1308	2023	5546	1301	2569
YAL043C	778	385	519	658	484	560	645	151	268	627	158	233	584	132	161	700	137	203	640	497	818	673	447	698	539	161	272	592	161	327	653	163	270	735	144	318
YAL044C	484	2006	2131	509	2066	2695	1278	1197	1801	1296	1476	1974	1234	1657	1343	821	1205	1274	421	2013	2757	326	1652	2241	603	1095	1008	741	1014	1184	461	943	920	449	931	1059
YAL044W-A	7	9	5	8	7	9	5	3	2	5	5	6	6	7	7	6	2	6	3	6	7	2	4	2	4	2	7	5	4	9	1	3	9	6	5	8
YAL045C	4	0	2	0	0	2	1	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0	1	0	0	5	3	0	0	1	0	3	0	0
YAL046C	71	276	210	76	186	314	99	98	157	96	172	160	103	207	126	60	89	153	75	168	323	51	178	227	86	102	95	99	104	144	64	102	140	57	144	156
YAL047C	445	272	291	339	245	336	509	162	346	427	209	298	370	151	216	499	220	212	286	277	134	294	199	255	278	157	229	333	140	262	348	141	241	343	50	259
YAL047W-A	2	2	1	0	0	0	2	0	4	0	4	3	7	2	1	5	0	4	0	1	1	0	1	1	1	1	1	5	1	8	6	0	8	5	2	4
YAL048C	701	258	330	650	322	399	653	160	291	645	163	269	807	166	258	987	195	255	472	345	432	564	285	466	522	161	267	640	145	246	718	119	287	780	103	309
YAL049C	361	351	379	334	424	499	521	466	667	508	533	706	502	329	464	514	282	356	303	501	597	257	466	609	376	584	652	450	617	784	475	387	661	473	336	529
YAL051W	1087	424	623	978	630	739	1853	591	995	1810	579	915	1608	414	573	2153	477	634	768	535	701	872	469	934	1229	502	852	1416	512	1080	1356	316	676	1416	159	679
YAL053W	3430	1837	2395	2926	1879	2145	4661	1506	2485	4322	1446	2412	4323	940	1646	5078	1007	1712	2171	1002	1386	2760	1257	2038	3520	1171	1835	4161	1351	2529	3712	649	2082	4016	707	2141
YAL054C	622	177	273	556	232	300	953	152	345	887	192	361	623	130	200	669	90	185	419	135	291	479	159	261	639	79	205	666	97	246	476	62	149	463	48	188
YAL055W	76	134	157	79	140	129	143	257	404	141	272	425	142	165	176	148	244	153	53	120	78	60	112	91	89	272	220	126	208	255	112	144	175	98	56	183
YAL056C-A	14	11	15	11	9	11	9	5	5	16	5	3	12	4	4	18	3	8	14	8	18	14	12	14	4	7	3	10	3	5	13	3	6	14	0	8
YAL056W	3554	1815	2533	3233	1985	2556	3455	873	1619	3444	821	1716	3813	362	1053	4546	422	1073	2747	1931	2062	3078	1905	2497	2671	844	1239	3260	721	1233	3148	319	1261	3356	188	1423
YAL058W	875	520	848	845	636	865	733	217	391	819	251	421	1029	154	312	959	158	317	716	470	705	821	476	742	567	196	241	693	179	299	805	103	252	936	125	374
YAL059C-A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
YAL059W	168	529	660	126	524	563	30	19	17	27	11	36	84	72	83	37	53	71	79	308	343	89	392	449	21	10	14	19	12	16	88	96	176	65	91	159
YAL060W	3551	2292	3432	3581	2974	3949	13876	10608	14907	14260	11059	16684	10639	9454	11748	8601	8223	9836	2913	3451	4463	2874	3065	3589	10776	10513	10384	12065	9446	10984	7051	5592	6255	7161	4282	6944
YAL061W	387	145	186	387	187	226	11792	5738	9417	11729	5929	10314	5121	3367	4664	4446	2601	3362	313	183	300	360	197	240	8700	5041	6227	7847	4370	5872	2862	1307	1634	2487	792	1818
YAL062W	463	142	220	459	196	259	1022	232	379	954	262	341	817	208	262	691	172	247	365	110	248	373	111	218	622	105	228	743	129	295	555	81	184	562	68	211
YAL063C	609	255	386	583	294	401	825	218	384	821	216	403	758	134	242	796	94	255	455	304	335	468	263	395	656	191	298	609	126	276	665	57	241	646	74	282
YAL063C-A	48	31	29	41	22	33	70	37	54	75	48	57	114	67	59	91	25	58	28	19	30	27	17	38	68	23	38	59	22	45	105	14	89	98	6	62
YAL064C-A	301	79	119	268	85	114	172	14	53	169	14	66	249	34	75	355	23	93	164	74	95	220	91	123	223	21	51	169	23	44	311	26	83	229	24	103
YAL064W	22	6	9	28	12	17	97	43	74	86	56	79	194	212	241	169	149	211	19	12	6	18	15	11	53	27	37	69	19	57	115	95	200	133	48	163
YAL064W-B	86	23	54	98	18	45	109	9	30	77	6	28	81	7	35	109	10	31	50	24	39	82	16	42	110	13	34	106	10	35	84	11	40	69	4	38
YAL065C	86	19	31	87	22	35	97	5	16	87	11	26	72	6	31	87	9	24	73	15	39	91	24	36	107	10	27	90	11	30	75	4	17	62	3	45
YAL066W	1	2	0	0	1	1	2	0	4	4	0	0	5	3	4	4	2	2	2	0	1	2	1	1	4	1	1	3	1	3	5	2	7	4	0	5
YAL067C	137	48	81	146	89	91	70	22	39	65	23	56	77	27	45	116	19	43	264	149	172	319	179	270	56	30	44	82	31	51	115	38	87	127	21	78
YAL067W-A	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	0	0	1	0	0	1	0	0	0	0	0	2	1	1	0	0	2	1	1
YAL068C	3	0	0	2	0	0	1	0	2	2	0	1	2	1	1	1	1	3	0	0	2	0	1	2	1	2	0	1	3	0	1	1	0	3	3	1
YAL068W-A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2
YAL069W	0	2	1	3	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	1	0	0	0	3	0	0	5	1
YAR002C-A	960	1861	2002	1024	1716	2451	1571	1337	1984	1467	1726	2340	1910	1698	1905	991	1078	1562	1072	1501	2717	1072	1410	2610	981	1473	1561	1424	1458	2031	1327	1376	2273	1259	1545	2373
YAR002W	335	274	304	292	321	367	174	101	185	160	139	193	231	184	238	293	186	213	279	388	312	261	320	535	170	121	195	198	157	241	244	274	455	257	206	328
YAR003W	1334	780	1113	1202	964	1195	1061	340	583	1039	411	716	1298	235	495	1128	232	490	952	995	1165	1075	954	1225	885	493	562	1162	459	588	1045	196	551	1169	147	540
YAR007C	1075	1109	1581	1261	1436	1921	1105	956	1544	1119	1014	1433	1343	1054	1349	1546	1404	1592	917	1749	1703	953	1743	2253	887	1304	1435	1010	1283	1669	1285	1364	1778	1345	1111	1743
YAR008W	224	334	427	203	345	370	169	120	190	152	117	201	327	212	306	297	164	276	172	418	354	215	387	459	142	134	143	213	159	175	337	236	361	392	118	341
YAR009C	813	71	89	554	78	75	644	39	77	474	42	68	263	22	52	323	29	39	593	138	65	501	89	129	396	41	78	456	52	92	355	70	136	299	14	81
YAR010C	4	0	1	8	0	2	5	0	0	3	1	0	4	0	0	3	0	0	9	0	0	7	0	0	0	0	0	4	1	0	4	0	0	1	0	0
YAR014C	2885	2286	3318	2473	2742	3142	2674	600	1197	2582	569	1274	3402	308	920	4808	424	1030	1567	2628	2401	1826	2647	2976	1558	575	806	1930	471	936	2665	388	1050	2820	184	1180
YAR015W	1954	4269	6441	1978	5942	6791	806	1456	2003	812	1446	2388	1064	1881	1995	930	1825	1909	1958	5608	7269	1813	6312	7823	476	1464	1288	679	1422	1687	767	1411	1605	925	1208	1749
YAR018C	683	882	979	640	1049	1132	368	274	369	330	290	370	497	368	318	504	392	354	610	784	1020	574	750	1132	221	137	225	300	210	353	465	255	384	495	154	368
YAR019C	303	101	70	210	85	82	945	127	237	821	121	198	426	53	88	511	36	97	183	115	85	210	109	129	639	96	185	672	102	210	370	37	159	339	36	112
YAR019W-A	0	0	0	0	0	0	12	7	10	10	3	2	7	4	3	11	5	1	1	0	0	1	0	1	5	0	4	3	1	5	13	2	4	14	0	4
YAR020C	26	9	11	24	10	11	50	16	21	48	7	13	29	6	18	42	6	16	16	15	10	28	6	16	39	3	18	49	6	21	24	5	18	33	6	13
YAR023C	167	62	74	161	65	80	326	159	256	306	189	257	231	139	186	184	108	132	113	59	100	153	67	88	274	143	142	302	122	164	199	87	172	228	54	152
YAR027W	328	491	570	372	494	622	1194	1373	1930	1100	1561	2073	1233	1574	1747	839	1282	1608	290	380	504	361	477	570	968	1540	1753	1112	1487	2220	1126	1189	2176	1050	651	1890
YAR028W	113	142	167	127	148	187	310	204	343	366	241	336	427	274	356	344	198	331	125	156	165	163	181	249	312	248	275	413	278	375	479	228	407	473	199	469
YAR029W	34	18	17	20	17	20	119	54	78	97	47	71	111	37	57	138	50	64	37	23	19	29	17	26	101	55	73	136	59	89	130	31	64	114	11	69
YAR030C	31	11	11	36	19	25	86	44	73	92	39	98	102	27	54	114	21	39	29	18	24	44	15	27	68	52	53	117	55	62	107	17	77	114	7	56
YAR031W	188	109	159	156	146	162	193	69	113	215	83	135	267	94	122	202	55	97	125	94	137	147	98	166	158	66	86	151	54	108	229	39	111	200	23	121
YAR033W	131	75	109	127	104	129	162	61	102	174	71	104	174	86	83	132	57	78	105	64	105	105	76	135	121	58	71	135	72	97	154	50	130	148	41	100
YAR035C-A	16	3	3	10	2	2	13	9	11	8	8	8	6	2	2	7	4	4	2	0	5	4	0	2	7	1	3	9	7	6	6	4	2	5	3	1
YAR035W	548	140	202	474	153	219	538	66	172	538	63	159	374	72	107	349	55	111	303	136	176	341	102	146	355	65	93	428	55	109	271	60	107	271	64	95
YAR042W	1972	534	619	1577	711	629	2874	417	838	2710	420	757	2124	188	494	3135	232	486	1588	688	652	1572	666	933	2064	339	678	2319	364	810	2253	181	713	1997	120	620
YAR047C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR050W	948	231	383	763	248	315	1176	69	260	1002	66	262	605	50	171	734	28	153	536	254	323	667	225	343	828	51	239	706	43	203	610	28	184	564	39	232
YAR053W	1	2	1	3	1	1	6	0	1	3	5	2	5	2	6	5	0	3	3	5	2	3	1	3	3	2	4	2	2	2	7	4	5	9	2	10
YAR060C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR064W	67	23	27	75	19	26	38	2	11	34	1	8	57	4	14	69	1	12	44	15	20	54	8	27	30	0	9	35	3	9	47	3	10	46	6	8
YAR066W	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR068W	30	5	9	29	11	7	17	1	5	10	1	4	16	1	4	23	2	5	13	12	9	18	5	4	12	1	2	21	1	3	22	0	3	20	2	3
YAR069C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR070C	1	0	2	1	0	0	0	0	0	0	0	2	2	2	2	2	0	3	1	0	0	1	0	0	0	0	0	1	0	2	2	0	1	0	1	0
YAR071W	765	581	782	682	566	725	165	59	72	120	56	113	206	79	86	181	47	87	1213	795	1489	1305	915	1671	206	149	156	261	132	251	430	143	271	418	145	259
YAR073W	3	5	3	4	8	2	3	3	4	5	1	6	7	4	3	17	3	7	7	3	11	2	6	4	5	1	3	3	1	2	13	4	6	14	2	9
YAR075W	6	3	3	4	1	3	2	0	2	1	3	1	5	4	0	8	3	3	3	3	4	5	5	3	0	3	1	3	2	1	5	3	4	6	2	3
YBL001C	111	1002	494	129	571	715	316	744	1075	270	1335	1267	324	908	849	212	432	548	109	584	754	106	437	612	211	814	637	263	664	852	188	587	820	184	272	757
YBL002W	189	146	138	142	157	142	158	106	109	167	133	142	183	149	175	153	181	147	175	203	189	222	204	206	157	169	163	193	181	207	218	226	300	194	203	212
